2018/12/06 09:17:10 [error] 8583#8583: *10 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
2018/12/06 10:26:37 [error] 9062#9062: *7 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 152.231.59.106, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 10:26:38 [error] 9062#9062: *9 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 200.29.99.243, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 11:14:37 [error] 9062#9062: *11 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 185.40.4.85, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/06 11:59:23 [error] 9062#9062: *13 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 121.52.136.77, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 12:17:06 [error] 9062#9062: *16 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 201.49.239.1, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 12:18:22 [error] 9062#9062: *20 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 200.100.159.39, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 12:18:22 [error] 9062#9062: *18 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 200.100.159.39, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 12:18:22 [error] 9062#9062: *23 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 200.100.159.39, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 12:18:22 [error] 9062#9062: *22 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 200.100.159.39, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 12:28:31 [error] 9062#9062: *26 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 92.8.203.132, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 12:56:20 [error] 9062#9062: *28 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 2.181.144.116, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 12:56:20 [error] 9062#9062: *30 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 2.181.144.116, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/06 13:58:05 [error] 9062#9062: *33 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 176.58.123.79, server: 5.23.54.233, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:"
2018/12/06 15:15:47 [error] 9062#9062: *46 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 54.81.203.115, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/06 16:09:39 [error] 9062#9062: *49 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46
PHP message: PHP Fatal error:  Uncaught InvalidArgumentException: Unsupported HTTP method "PROPFIND" provided in /home/digitimes/gameportal/vendor/slim/slim/Slim/Http/Request.php:316
Stack trace:
#0 /home/digitimes/gameportal/vendor/slim/slim/Slim/Http/Request.php(172): Slim\Http\Request->filterMethod('PROPFIND')
#1 /home/digitimes/gameportal/vendor/slim/slim/Slim/Http/Request.php(146): Slim\Http\Request->__construct('PROPFIND', Object(Slim\Http\Uri), Object(Slim\Http\Headers), Array, Array, Object(Slim\Http\RequestBody), Array)
#2 /home/digitimes/gameportal/vendor/slim/slim/Slim/Container.php(131): Slim\Http\Request::createFromEnvironment(Object(Slim\Http\Environment))
#3 /home/digitimes/gameportal/vendor/pimple/pimple/src/Pimple/Container.php(118): Slim\Container->Slim\{closure}(Object(Slim\Container))
#4 /home/digitimes/gameportal/vendor/slim/slim/Slim/Container.php(266): Pimple\Container->offsetGet('request')
#5 /home/digitimes/gameportal/vendor/slim/slim/Slim/App.php(297): Slim\Container->get('reques" while reading response header from upstream, client: 116.58.8.172, server: 5.23.54.233, request: "PROPFIND / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "localhost"
2018/12/06 16:09:39 [error] 9062#9062: *51 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 116.58.8.172, server: 5.23.54.233, request: "GET /webdav/ HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/07 07:41:42 [error] 9061#9061: *207 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 79.107.234.147, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/07 08:10:53 [error] 9061#9061: *209 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 220.135.101.187, server: 5.23.54.233, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:"
2018/12/07 08:10:54 [error] 9061#9061: *211 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 220.135.101.187, server: 5.23.54.233, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:"
2018/12/07 08:17:24 [error] 9061#9061: *213 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 122.116.144.238, server: 5.23.54.233, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:"
2018/12/07 08:20:43 [error] 9061#9061: *215 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 204.210.198.250, server: 5.23.54.233, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:"
2018/12/07 08:27:09 [error] 9061#9061: *218 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46
PHP message: PHP Fatal error:  Uncaught InvalidArgumentException: Unsupported HTTP method "PROPFIND" provided in /home/digitimes/gameportal/vendor/slim/slim/Slim/Http/Request.php:316
Stack trace:
#0 /home/digitimes/gameportal/vendor/slim/slim/Slim/Http/Request.php(172): Slim\Http\Request->filterMethod('PROPFIND')
#1 /home/digitimes/gameportal/vendor/slim/slim/Slim/Http/Request.php(146): Slim\Http\Request->__construct('PROPFIND', Object(Slim\Http\Uri), Object(Slim\Http\Headers), Array, Array, Object(Slim\Http\RequestBody), Array)
#2 /home/digitimes/gameportal/vendor/slim/slim/Slim/Container.php(131): Slim\Http\Request::createFromEnvironment(Object(Slim\Http\Environment))
#3 /home/digitimes/gameportal/vendor/pimple/pimple/src/Pimple/Container.php(118): Slim\Container->Slim\{closure}(Object(Slim\Container))
#4 /home/digitimes/gameportal/vendor/slim/slim/Slim/Container.php(266): Pimple\Container->offsetGet('request')
#5 /home/digitimes/gameportal/vendor/slim/slim/Slim/App.php(297): Slim\Container->get('reques" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "PROPFIND / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "localhost"
2018/12/07 08:27:09 [error] 9061#9061: *220 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /webdav/ HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/07 08:29:49 [error] 9061#9061: *224 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jexsw2/jexsw2.jsp?ppp=echo%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:29:49 [error] 9061#9061: *226 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jexws2/jexws2.jsp?ppp=echo%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:29:50 [error] 9061#9061: *228 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jexws3/jexws3.jsp?ppp=echo%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:29:51 [error] 9061#9061: *230 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jexws4/jexws4.jsp?ppp=echo%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:29:53 [error] 9061#9061: *232 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jexinv/jexinv.jsp?ppp=echo%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:29:53 [error] 9061#9061: *234 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jexinv3/jexinv3.jsp?ppp=echo%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:29:57 [error] 9061#9061: *236 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jbossass/jbossass.jsp?ppp=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:29:58 [error] 9061#9061: *238 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /console/jspzxc.jsp?cmd=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:29:59 [error] 9061#9061: *240 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /demo/404.jsp?bjh=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:30:01 [error] 9061#9061: *242 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /dread/lock.jsp?tezaz=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:30:01 [error] 9061#9061: *244 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /HCEGH/xunfeng.jsp?comment=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:30:02 [error] 9061#9061: *246 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jbws/jbws.jsp?eval=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:30:03 [error] 9061#9061: *248 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /jvrx/cmd.jsp?pwd=everymorning&cmd=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:30:05 [error] 9061#9061: *250 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /shellinvoker/shellinvoker.jsp?ppp=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:30:05 [error] 9061#9061: *252 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /zecmd/zecmd.jsp?comment=echo%20Hello%20D3c3mb3r HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:30:06 [error] 9061#9061: *254 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:30:43 [error] 9061#9061: *256 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "POST /ws/v1/cluster/apps/new-application HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233:80"
2018/12/07 08:30:43 [error] 9061#9061: *254 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 118.24.39.205, server: 5.23.54.233, request: "GET /manager/html HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:39:07 [error] 9061#9061: *259 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 208.80.194.32, server: 5.23.54.233, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:48:24 [error] 9061#9061: *261 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 68.183.50.2, server: 5.23.54.233, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:", host: "5.23.54.233"
2018/12/07 08:48:39 [error] 9061#9061: *263 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /home/digitimes/gameportal/index.php on line 39
PHP message: PHP Warning:  The first parameter of bindtextdomain must not be empty in /home/digitimes/gameportal/index.php on line 46" while reading response header from upstream, client: 114.32.138.217, server: 5.23.54.233, request: "GET / HTTP/1.0", upstream: "fastcgi://unix:/run/php/php7.2-fpm.sock:"
